Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	Entry		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN		All_Pathways		ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
TBA1B_MOUSE	Tubulin alpha-1B chain OS=Mus musculus GN=Tuba1b PE=1 SV=2	50 kDa	0.12	P05213		35.414	45.873	50.435	45.423	30.28	41.485	110.08	45.873	50.435	54.913	65.3253	48.325	40.087	30.304	41.633	40.0873	37.486	32.744	42.799	37.6763																	
TPM3_MOUSE	Tropomyosin alpha-3 chain OS=Mus musculus GN=Tpm3 PE=1 SV=3	33 kDa	0.12	P21107		34.457	25.966	32.892	20.964	40.373	30.9304	17.691	25.966	32.892	35.051	27.9	25.584	16.781	23.233	0	16.3995	30.152	32.744	22.291	28.3957																	
ACLY_MOUSE	ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1	120 kDa	0.13	Q91V92		0	0	0	0	0	0	0.9828	0	0	0	0.2457	0	2.7968	2.0203	0	1.2043	0	0	0	0																	
CLIC4_MOUSE	Chloride intracellular channel protein 4 OS=Mus musculus GN=Clic4 PE=1 SV=3	29 kDa	0.13	Q9QYB1		4.7857	1.731	3.2892	1.1647	3.3644	2.867	0	1.731	3.2892	1.1684	1.5472	3.7902	1.8645	0	0	1.4137	3.2597	4.7919	3.5666	3.8727																	
EHD4_MOUSE	EH domain-containing protein 4 OS=Mus musculus GN=Ehd4 PE=1 SV=1	61 kDa	0.13	Q9EQP2		1.9143	3.4621	6.5785	3.4941	1.1215	3.3141	2.9485	3.4621	6.5785	7.0101	4.9998	10.423	13.052	4.0406	4.898	8.1034	5.7044	6.3892	3.5666	5.2201																	
HBB1_MOUSE	Hemoglobin subunit beta-1 OS=Mus musculus GN=Hbb-b1 PE=1 SV=2	16 kDa	0.13	P02088		27.757	20.773	26.314	34.941	47.102	31.3774	15.725	20.773	26.314	18.694	20.3765	18.003	41.019	40.406	47.755	36.7958	27.707	36.738	31.208	31.8843																	
KPYM_MOUSE	Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4	58 kDa	0.13	P52480		32.543	37.217	38.374	39.6	34.766	36.5	30.468	37.217	38.374	46.734	38.1983	43.587	40.087	38.385	42.857	41.229	28.522	31.147	38.341	32.67		Glycolysis									Glycolysis						
TCPQ_MOUSE	T-complex protein 1 subunit theta OS=Mus musculus GN=Cct8 PE=1 SV=3	60 kDa	0.13	P42932		1.9143	2.5966	1.0964	1.1647	0	1.3544	0	2.5966	1.0964	1.1684	1.2154	1.8951	2.7968	2.0203	1.2245	1.9842	0.8149	0	0	0.2716																	
ANXA2_MOUSE	Annexin A2 OS=Mus musculus GN=Anxa2 PE=1 SV=2	39 kDa	0.14	P07356		17.229	25.966	33.989	20.964	44.859	28.6014	42.262	25.966	33.989	19.862	30.5198	17.056	21.442	21.213	4.898	16.1523	36.671	32.744	24.074	31.163																	
CSRP1_MOUSE	Cysteine and glycine-rich protein 1 OS=Mus musculus GN=Csrp1 PE=1 SV=3	21 kDa	0.14	P97315		6.7	10.386	6.5785	10.482	17.944	10.4181	5.897	10.386	6.5785	8.1785	7.76	12.318	13.052	17.172	26.939	17.3703	17.928	3.1946	16.941	12.6879																	
EHD1_MOUSE	EH domain-containing protein 1 OS=Mus musculus GN=Ehd1 PE=1 SV=1	61 kDa	0.14	Q9WVK4		4.7857	2.5966	1.0964	4.6588	0	2.6275	0	2.5966	1.0964	1.1684	1.2154	0.9476	0.9323	0	0	0.47	1.6298	0	0	0.5433																	
PGBM_MOUSE	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1	398 kDa	0.14	Q05793		29.671	28.562	36.182	20.964	12.336	25.543	25.554	28.562	36.182	31.546	30.461	20.846	21.442	21.213	15.918	19.8548	25.263	27.154	37.449	29.9553																	
SFXN3_MOUSE	Sideroflexin-3 OS=Mus musculus GN=Sfxn3 PE=1 SV=1	35 kDa	0.14	Q91V61		0	0	0	1.1647	1.1215	0.4572	0	0	0	0	0	0	0	0	0	0	1.6298	0.7987	0	0.8095																	
VINC_MOUSE	Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4	117 kDa	0.14	Q64727		111.99	97.804	98.677	130.45	82.99	104.3822	98.283	97.804	98.677	82.953	94.4293	96.65	96.955	92.933	94.286	95.206	83.937	85.455	82.031	83.8077		Integrin											Integrin				
CNN1_MOUSE	Calponin-1 OS=Mus musculus GN=Cnn1 PE=2 SV=1	33 kDa	0.15	Q08091		27.757	32.89	27.41	25.623	47.102	32.1564	16.708	32.89	27.41	36.219	28.3068	40.744	30.764	30.304	30.612	33.106	45.636	38.335	41.907	41.9593																	
DECR_MOUSE	2,4-dienoyl-CoA reductase, mitochondrial OS=Mus musculus GN=Decr1 PE=1 SV=1	36 kDa	0.15	Q9CQ62		4.7857	2.5966	6.5785	3.4941	4.4859	4.3882	0	2.5966	6.5785	2.3367	2.878	1.8951	1.8645	0	0	0.9399	4.8895	4.7919	0	3.2271																	
MYLK_MOUSE	Myosin light chain kinase, smooth muscle OS=Mus musculus GN=Mylk PE=1 SV=3	213 kDa	0.15	Q6PDN3		16.271	18.176	17.543	18.635	8.9719	15.9194	16.708	18.176	17.543	19.862	18.0723	23.689	22.374	14.142	19.592	19.9493	20.373	20.765	23.183	21.4403																	
RSU1_MOUSE	Ras suppressor protein 1 OS=Mus musculus GN=Rsu1 PE=2 SV=3	32 kDa	0.15	Q01730		3.8286	2.5966	5.4821	3.4941	6.7289	4.4261	0	2.5966	5.4821	2.3367	2.6039	9.4755	5.5935	2.0203	8.5714	6.4152	4.8895	7.1878	5.3499	5.8091																	
CO6A2_MOUSE	Collagen alpha-2(VI) chain OS=Mus musculus GN=Col6a2 PE=2 SV=3	110 kDa	0.16	Q02788		17.229	20.773	19.735	18.635	6.7289	16.6202	8.8455	20.773	19.735	16.357	16.4276	9.4755	12.119	9.0913	7.3469	9.5082	13.039	11.181	19.616	14.612		Chemokine_Cytokine_Signaling, Integrin				Chemokine_Cytokine_Signaling							Integrin				
COCA1_MOUSE	Collagen alpha-1(XII) chain OS=Mus musculus GN=Col12a1 PE=2 SV=3	340 kDa	0.16	Q60847		0	0	0	0	0	0	23.588	0	0	8.1785	7.9416	0	0	0	0	0	0	0	0	0		Chemokine_Cytokine_Signaling, Integrin				Chemokine_Cytokine_Signaling							Integrin				
DPEP1_MOUSE	Dipeptidase 1 OS=Mus musculus GN=Dpep1 PE=1 SV=2	46 kDa	0.16	P31428		6.7	7.7897	6.5785	10.482	8.9719	8.1044	2.9485	7.7897	6.5785	4.6734	5.4975	5.6853	8.3903	3.0304	4.898	5.501	5.7044	7.1878	6.2415	6.3779																	
GELS_MOUSE	Gelsolin OS=Mus musculus GN=Gsn PE=1 SV=3	86 kDa	0.16	P13020		19.143	16.445	16.446	16.306	10.093	15.6866	11.794	16.445	16.446	0	11.1713	6.6328	12.119	8.0811	8.5714	8.8511	16.298	15.174	13.375	14.949																	
ITB1_MOUSE	Integrin beta-1 OS=Mus musculus GN=Itgb1 PE=1 SV=1	88 kDa	0.16	P09055		11.486	14.714	13.157	15.141	11.215	13.1426	5.897	14.714	13.157	11.684	11.363	13.266	8.3903	8.0811	11.02	10.1894	13.039	14.376	16.941	14.7853		Chemokine_Cytokine_Signaling, Integrin				Chemokine_Cytokine_Signaling							Integrin				
ARF4_MOUSE	ADP-ribosylation factor 4 OS=Mus musculus GN=Arf4 PE=1 SV=2	20 kDa	0.17	P61750		0	0	0	0	5.6074	1.1215	0.9828	0	0	1.1684	0.5378	3.7902	3.729	3.0304	2.449	3.2497	3.2597	0	2.6749	1.9782		Huntington										Huntington					
EFHD2_MOUSE	EF-hand domain-containing protein D2 OS=Mus musculus GN=Efhd2 PE=1 SV=1	27 kDa	0.17	Q9D8Y0		0.9571	1.731	2.1928	0	2.243	1.4248	0	1.731	2.1928	1.1684	1.2731	0	0	0	0	0	4.0746	1.5973	0	1.8906																	
ETFA_MOUSE	Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2	35 kDa	0.17	Q99LC5		5.7428	1.731	7.6749	1.1647	6.7289	4.6085	1.9657	1.731	7.6749	0	2.8429	0	0	1.0101	0	0.2525	5.7044	3.1946	0	2.9663																	
NDUA6_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Mus musculus GN=Ndufa6 PE=1 SV=1	15 kDa	0.17	Q9CQZ5		0	0	0	0	0	0	0	0	0	0	0	0.9476	0	0	1.2245	0.543	0	0	0.8917	0.2972																	
SCOT1_MOUSE	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Mus musculus GN=Oxct1 PE=1 SV=1	56 kDa	0.17	Q9D0K2		10.529	9.5207	8.7713	8.1528	5.6074	8.5162	5.897	9.5207	8.7713	11.684	8.9683	8.5279	7.458	10.101	6.1225	8.0524	6.5194	2.3959	7.1332	5.3495																	
AATM_MOUSE	Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1	47 kDa	0.18	P05202		5.7428	2.5966	5.4821	2.3294	7.8504	4.8003	0	2.5966	5.4821	0	2.0197	4.7377	2.7968	2.0203	0	2.3887	5.7044	3.9932	4.4582	4.7186																	
CO3_MOUSE	Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3	186 kDa	0.18	P01027		0.9571	0.8655	1.0964	0	0	0.5838	0	0.8655	1.0964	1.1684	0.7826	0	0	0	0	0	1.6298	0.7987	0	0.8095																	
COFA1_MOUSE	Collagen alpha-1(XV) chain OS=Mus musculus GN=Col15a1 PE=1 SV=2	140 kDa	0.18	O35206		0.9571	0.8655	0	1.1647	0	0.5975	0	0.8655	0	0	0.2164	0.9476	1.8645	0	0	0.703	0.8149	3.9932	0.8917	1.8999		Integrin											Integrin				
FMO2_MOUSE	Dimethylaniline monooxygenase [N-oxide-forming] 2 OS=Mus musculus GN=Fmo2 PE=1 SV=3	61 kDa	0.18	Q8K2I3		11.486	15.579	10.964	15.141	12.336	13.1012	9.8283	15.579	10.964	11.684	12.0138	11.371	12.119	12.122	14.694	12.5765	11.409	9.5838	8.0248	9.6725																	
K1C17_MOUSE	Keratin, type I cytoskeletal 17 OS=Mus musculus GN=Krt17 PE=1 SV=3	48 kDa	0.18	Q9QWL7		2.8714	8.6552	1.0964	19.8	0	6.4846	5.897	8.6552	1.0964	7.0101	5.6647	6.6328	6.5258	14.142	14.694	10.4987	0.8149	0.7987	0	0.5379																	
K2C1_MOUSE	Keratin, type II cytoskeletal 1 OS=Mus musculus GN=Krt1 PE=1 SV=4	66 kDa	0.18	P04104		31.586	35.486	29.603	75.705	20.187	38.5134	29.485	35.486	29.603	50.239	36.2033	43.587	29.832	51.517	52.653	44.3973	16.298	18.369	22.291	18.986																	
LDHA_MOUSE	L-lactate dehydrogenase A chain OS=Mus musculus GN=Ldha PE=1 SV=3	36 kDa	0.18	P06151		4.7857	1.731	5.4821	3.4941	12.336	5.5658	0.9828	1.731	5.4821	5.8418	3.5094	1.8951	2.7968	1.0101	0	1.4255	7.3343	5.5905	3.5666	5.4971																	
ODO1_MOUSE	2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3	116 kDa	0.18	Q60597		4.7857	0	1.0964	0	2.243	1.625	0.9828	0	1.0964	0	0.5198	0.9476	0	0	0	0.2369	3.2597	1.5973	1.7833	2.2134		TCA_Cycle															TCA_Cycle
RB11B_MOUSE	Ras-related protein Rab-11B OS=Mus musculus GN=Rab11b PE=1 SV=3	24 kDa	0.18	P46638		1.9143	1.731	2.1928	1.1647	2.243	1.8492	0	1.731	2.1928	0	0.981	0.9476	2.7968	3.0304	2.449	2.3059	3.2597	3.9932	0.8917	2.7149																	
RPN2_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus GN=Rpn2 PE=2 SV=1	69 kDa	0.18	Q9DBG6		0	0.8655	1.0964	1.1647	0	0.6253	0.9828	0.8655	1.0964	2.3367	1.3204	0.9476	0.9323	1.0101	0	0.7225	1.6298	1.5973	0.8917	1.3729																	
SODE_MOUSE	Extracellular superoxide dismutase [Cu-Zn] OS=Mus musculus GN=Sod3 PE=1 SV=1	27 kDa	0.18	O09164		10.529	8.6552	18.639	5.8235	17.944	12.3181	5.897	8.6552	18.639	11.684	11.2188	8.5279	5.5935	6.0608	1.2245	5.3517	17.113	11.181	8.9165	12.4035																	
ANXA4_MOUSE	Annexin A4 OS=Mus musculus GN=Anxa4 PE=2 SV=4	36 kDa	0.19	P97429		2.8714	6.0587	8.7713	5.8235	12.336	7.1722	0.9828	6.0587	8.7713	2.3367	4.5374	3.7902	2.7968	2.0203	0	2.1518	7.3343	7.1878	0.8917	5.1379																	
CLIC1_MOUSE	Chloride intracellular channel protein 1 OS=Mus musculus GN=Clic1 PE=1 SV=3	27 kDa	0.19	Q9Z1Q5		0.9571	1.731	4.3856	0	2.243	1.8633	0	1.731	4.3856	1.1684	1.8213	0	0	0	0	0	1.6298	1.5973	1.7833	1.6701																	
H4_MOUSE	Histone H4 OS=Mus musculus GN=Hist1h4a PE=1 SV=2	11 kDa	0.19	P62806		25.843	19.041	16.446	23.294	29.159	22.7566	21.622	19.041	16.446	52.576	27.4213	36.007	39.155	36.365	37.959	37.3715	23.633	31.946	38.341	31.3067																	
HSP7C_MOUSE	Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1	71 kDa	0.19	P63017		46.9	46.738	51.531	44.258	39.252	45.7358	24.571	46.738	51.531	44.398	41.8095	48.325	46.613	45.456	62.449	50.7108	41.561	39.932	28.533	36.6753		Parkinson													Parkinson		
K1C10_MOUSE	Keratin, type I cytoskeletal 10 OS=Mus musculus GN=Krt10 PE=1 SV=3	58 kDa	0.19	P02535		44.986	50.2	29.603	82.693	15.701	44.6366	43.245	50.2	29.603	84.122	51.7925	45.482	31.697	57.578	55.102	47.4648	20.373	17.57	18.725	18.8893																	
A1AT5_MOUSE	Alpha-1-antitrypsin 1-5 OS=Mus musculus GN=Serpina1e PE=1 SV=1	46 kDa	0.2	Q00898		0	0	0	0	0	0	3.9313	0	0	11.684	3.9038	1.8951	0	0	0	0.4738	0	0	0	0		Blood_Coagulation			Blood_Coagulation												
A2M_MOUSE	Alpha-2-macroglobulin OS=Mus musculus GN=A2m PE=1 SV=3	166 kDa	0.2	Q61838		0.9571	0	0	0	1.1215	0.4157	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Blood_Coagulation			Blood_Coagulation												
ATLA3_MOUSE	Atlastin-3 OS=Mus musculus GN=Atl3 PE=2 SV=1	61 kDa	0.2	Q91YH5		1.9143	1.731	2.1928	3.4941	0	1.8664	0	1.731	2.1928	1.1684	1.2731	1.8951	0.9323	0	1.2245	1.013	0	0.7987	0	0.2662																	
FIBB_MOUSE	Fibrinogen beta chain OS=Mus musculus GN=Fgb PE=2 SV=1	55 kDa	0.2	Q8K0E8		1.9143	1.731	0	0	0	0.7291	1.9657	1.731	0	4.6734	2.0925	0	1.8645	1.0101	2.449	1.3309	0	0	0	0		Blood_Coagulation			Blood_Coagulation												
HXK1_MOUSE	Hexokinase-1 OS=Mus musculus GN=Hk1 PE=1 SV=3	108 kDa	0.2	P17710		0.9571	0.8655	0	0	0	0.3645	0	0.8655	0	0	0.2164	0.9476	0	1.0101	0	0.4894	1.6298	2.3959	0	1.3419		Glycolysis									Glycolysis						
SEPT7_MOUSE	Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1	51 kDa	0.2	O55131		3.8286	5.1931	3.2892	1.1647	3.3644	3.368	2.9485	5.1931	3.2892	0	2.8577	4.7377	4.6613	4.0406	6.1225	4.8905	3.2597	3.1946	0.8917	2.4487																	
DESM_MOUSE	Desmin OS=Mus musculus GN=Des PE=1 SV=3	53 kDa	0.21	P31001		44.986	49.335	28.507	41.929	41.495	41.2504	129.73	49.335	28.507	66.596	68.542	37.902	37.29	35.355	36.735	36.8205	35.042	41.53	40.124	38.8987																	
PDLI3_MOUSE	PDZ and LIM domain protein 3 OS=Mus musculus GN=Pdlim3 PE=1 SV=1	34 kDa	0.21	O70209		8.6143	7.7897	3.2892	4.6588	6.7289	6.2162	0.9828	7.7897	3.2892	3.5051	3.8917	6.6328	4.6613	5.0507	2.449	4.6985	5.7044	7.9865	8.0248	7.2386																	
CALX_MOUSE	Calnexin OS=Mus musculus GN=Canx PE=1 SV=1	67 kDa	0.22	P35564		0	0.8655	1.0964	0	0	0.3924	0	0.8655	1.0964	0	0.4905	0	0	1.0101	0	0.2525	0	1.5973	2.6749	1.4241																	
MYL9_MOUSE	Myosin regulatory light polypeptide 9 OS=Mus musculus GN=Myl9 PE=1 SV=3	20 kDa	0.22	Q9CQ19		27.757	38.948	31.796	36.105	54.953	37.9118	25.554	38.948	31.796	46.734	35.758	58.748	53.139	53.537	44.082	52.3765	49.71	19.966	57.957	42.5443																	
TPM1_MOUSE	Tropomyosin alpha-1 chain OS=Mus musculus GN=Tpm1 PE=1 SV=1	33 kDa	0.22	P58771		68.914	57.124	63.592	50.082	91.961	66.3346	36.365	57.124	63.592	71.27	57.0878	59.695	40.087	60.608	22.041	45.6078	68.453	76.67	57.957	67.6933																	
FLNA_MOUSE	    Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5	281 kDa	0.23	Q8BTM8		444.11	396.41	396.9	393.67	288.22	383.862	347.92	396.41	396.9	288.58	357.4525	351.54	309.51	328.3	363.67	338.255	378.94	429.67	415.51	408.04		Integrin											Integrin				
FRIL1_MOUSE	Ferritin light chain 1 OS=Mus musculus GN=Ftl1 PE=1 SV=2	21 kDa	0.23	P29391		0.9571	0.8655	0	0	0	0.3645	0	0.8655	0	0	0.2164	0	0.9323	2.0203	1.2245	1.0443	0	0	0.8917	0.2972																	
LGUL_MOUSE	Lactoylglutathione lyase OS=Mus musculus GN=Glo1 PE=1 SV=3	21 kDa	0.23	Q9CPU0		2.8714	3.4621	3.2892	3.4941	3.3644	3.2962	0	3.4621	3.2892	0	1.6878	2.8426	3.729	2.0203	3.6735	3.0664	2.4448	1.5973	3.5666	2.5362																	
MYH11_MOUSE	Myosin-11 OS=Mus musculus GN=Myh11 PE=1 SV=1	227 kDa	0.23	O08638		493.88	474.31	519.7	525.28	391.4	480.914	392.15	474.31	519.7	347	433.29	413.13	382.22	394.96	427.35	404.415	414.79	473.6	482.38	456.9233																	
SLMAP_MOUSE	Sarcolemmal membrane-associated protein OS=Mus musculus GN=Slmap PE=1 SV=2	97 kDa	0.23	Q3URD3		14.357	13.848	12.061	11.647	12.336	12.8498	3.9313	13.848	12.061	10.515	10.0888	15.161	13.052	12.122	3.6735	11.0021	9.779	5.5905	6.2415	7.2037																	
UCP1_MOUSE	Mitochondrial brown fat uncoupling protein 1 OS=Mus musculus GN=Ucp1 PE=2 SV=2	33 kDa	0.23	P12242		3.8286	0	0	0	2.243	1.2143	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
ATP5H_MOUSE	ATP synthase subunit d, mitochondrial OS=Mus musculus GN=Atp5h PE=1 SV=3	19 kDa	0.24	Q9DCX2		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8149	0	0	0.2716																	
CISD1_MOUSE	CDGSH iron-sulfur domain-containing protein 1 OS=Mus musculus GN=Cisd1 PE=1 SV=1	12 kDa	0.24	Q91WS0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6298	0	0	0.5433																	
ECH1_MOUSE	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus GN=Ech1 PE=1 SV=1	36 kDa	0.24	O35459		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8149	0	0	0.2716																	
HNRPK_MOUSE	Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus GN=Hnrnpk PE=1 SV=1	51 kDa	0.24	P61979		5.7428	0.8655	1.0964	1.1647	0	1.7739	2.9485	0.8655	1.0964	7.0101	2.9801	4.7377	4.6613	5.0507	3.6735	4.5308	4.8895	3.1946	3.5666	3.8836																	
MYH6_MOUSE	Myosin-6 OS=Mus musculus GN=Myh6 PE=1 SV=2	224 kDa	0.24	Q02566		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.522	0	0	9.5073		Chemokine_Cytokine_Signaling, Cytoskeleton, Nicotinic_Acetylcholine				Chemokine_Cytokine_Signaling	Cytoskeleton							Nicotinic_Acetylcholine			
MYH7_MOUSE	Myosin-7 OS=Mus musculus GN=Myh7 PE=1 SV=1	223 kDa	0.24	Q91Z83		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.003	0	0	7.3343		Chemokine_Cytokine_Signaling, Cytoskeleton, Nicotinic_Acetylcholine				Chemokine_Cytokine_Signaling	Cytoskeleton							Nicotinic_Acetylcholine			
PHB2_MOUSE	Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1	33 kDa	0.24	O35129		0	0	2.1928	0	3.3644	1.1114	0	0	2.1928	0	0.5482	0	1.8645	1.0101	0	0.7187	4.8895	2.3959	0.8917	2.7257																	
RHG01_MOUSE	Rho GTPase-activating protein 1 OS=Mus musculus GN=Arhgap1 PE=1 SV=1	50 kDa	0.24	Q5FWK3		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7987	0	0.2662		Cytoskeleton					Cytoskeleton										
TNNI3_MOUSE	Troponin I, cardiac muscle OS=Mus musculus GN=Tnni3 PE=1 SV=2	24 kDa	0.24	P48787		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8149	0	0	0.2716																	
AMPN_MOUSE	Aminopeptidase N OS=Mus musculus GN=Anpep PE=1 SV=4	110 kDa	0.25	P97449		0	0	0	0	0	0	0	0	0	0	0	0.9476	1.8645	0	0	0.703	0	1.5973	0	0.5324																	
FABP4_MOUSE	Fatty acid-binding protein, adipocyte OS=Mus musculus GN=Fabp4 PE=1 SV=3	15 kDa	0.25	P04117		6.7	10.386	4.3856	6.9882	20.187	9.7294	4.9142	10.386	4.3856	9.3469	7.2582	8.5279	11.187	14.142	11.02	11.2192	10.594	13.577	18.725	14.2987																	
HBB2_MOUSE	Hemoglobin subunit beta-2 OS=Mus musculus GN=Hbb-b2 PE=1 SV=2	16 kDa	0.25	P02089		8.6143	8.6552	0	12.812	16.822	9.3807	6.8798	8.6552	0	11.684	6.8048	5.6853	13.052	11.112	14.694	11.1358	12.224	17.57	14.266	14.6867																	
K6PP_MOUSE	6-phosphofructokinase type C OS=Mus musculus GN=Pfkp PE=1 SV=1	85 kDa	0.25	Q9WUA3		0.9571	0.8655	2.1928	0	0	0.8031	2.9485	0.8655	2.1928	0	1.5017	2.8426	2.7968	2.0203	1.2245	2.2211	1.6298	0	1.7833	1.1377																	
PARK7_MOUSE	Protein DJ-1 OS=Mus musculus GN=Park7 PE=1 SV=1	20 kDa	0.25	Q99LX0		0.9571	0.8655	0	0	0	0.3645	0	0.8655	0	1.1684	0.5085	0	0.9323	1.0101	1.2245	0.7917	1.6298	3.1946	0	1.6081																	
TCPG_MOUSE	T-complex protein 1 subunit gamma OS=Mus musculus GN=Cct3 PE=1 SV=1	61 kDa	0.25	P80318		0.9571	1.731	2.1928	2.3294	0	1.4421	0	1.731	2.1928	3.5051	1.8572	1.8951	2.7968	3.0304	2.449	2.5428	0.8149	1.5973	0.8917	1.1013																	
AOFA_MOUSE	Amine oxidase [flavin-containing] A OS=Mus musculus GN=Maoa PE=1 SV=3	60 kDa	0.26	Q64133		0.9571	1.731	1.0964	1.1647	0	0.9898	0	1.731	1.0964	0	0.7069	0	0.9323	0	1.2245	0.5392	0	0	0	0																	
APOA1_MOUSE	Apolipoprotein A-I OS=Mus musculus GN=Apoa1 PE=1 SV=2	31 kDa	0.26	Q00623		2.8714	1.731	4.3856	2.3294	2.243	2.7121	1.9657	1.731	4.3856	2.3367	2.6048	1.8951	3.729	6.0608	3.6735	3.8396	1.6298	2.3959	1.7833	1.9363																	
COF2_MOUSE	Cofilin-2 OS=Mus musculus GN=Cfl2 PE=1 SV=1	19 kDa	0.26	P45591		0.9571	1.731	2.1928	1.1647	5.6074	2.3306	1.9657	1.731	2.1928	3.5051	2.3487	4.7377	5.5935	4.0406	2.449	4.2052	3.2597	1.5973	4.4582	3.1051		Cytoskeleton					Cytoskeleton										
ECHB_MOUSE	Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus GN=Hadhb PE=1 SV=1	51 kDa	0.26	Q99JY0		5.7428	2.5966	5.4821	1.1647	2.243	3.4458	0	2.5966	5.4821	1.1684	2.3118	0	1.8645	1.0101	1.2245	1.0248	2.4448	3.1946	2.6749	2.7714																	
FLNC_MOUSE	Filamin-C OS=Mus musculus GN=Flnc PE=1 SV=3	291 kDa	0.26	Q8VHX6		22.971	19.041	18.639	0	0	12.1302	17.691	19.041	18.639	16.357	17.932	20.846	0	20.203	22.041	15.7725	26.077	24.758	24.074	24.9697																	
HNRPM_MOUSE	Heterogeneous nuclear ribonucleoprotein M OS=Mus musculus GN=Hnrnpm PE=1 SV=3	78 kDa	0.26	Q9D0E1		0	0	1.0964	1.1647	0	0.4522	0	0	1.0964	0	0.2741	1.8951	2.7968	1.0101	0	1.4255	1.6298	0	0	0.5433																	
HS90B_MOUSE	Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3	83 kDa	0.26	P11499		17.229	20.773	20.832	19.8	13.458	18.4184	23.588	20.773	20.832	0	16.2983	19.898	21.442	21.213	30.612	23.2913	13.854	15.973	10.7	13.509																	
K1C42_MOUSE	Keratin, type I cytoskeletal 42 OS=Mus musculus GN=Krt42 PE=1 SV=1	50 kDa	0.26	Q6IFX2		0.9571	7.7897	0	23.294	0	6.4082	6.8798	7.7897	0	8.1785	5.712	8.5279	9.3226	12.122	14.694	11.1666	0.8149	2.3959	0	1.0703																	
RS10_MOUSE	40S ribosomal protein S10 OS=Mus musculus GN=Rps10 PE=1 SV=1	19 kDa	0.26	P63325		0	0.8655	1.0964	0	2.243	0.841	0	0.8655	1.0964	1.1684	0.7826	0.9476	1.8645	2.0203	2.449	1.8203	1.6298	0	1.7833	1.1377																	
SH3L1_MOUSE	SH3 domain-binding glutamic acid-rich-like protein OS=Mus musculus GN=Sh3bgrl PE=3 SV=1	13 kDa	0.26	Q9JJU8		2.8714	1.731	0	2.3294	6.7289	2.7321	2.9485	1.731	0	1.1684	1.462	2.8426	2.7968	3.0304	3.6735	3.0858	1.6298	5.5905	6.2415	4.4873																	
ADIPO_MOUSE	Adiponectin OS=Mus musculus GN=Adipoq PE=1 SV=2	27 kDa	0.27	Q60994		4.7857	5.1931	4.3856	3.4941	2.243	4.0203	0	5.1931	4.3856	2.3367	2.9789	1.8951	1.8645	3.0304	1.2245	2.0036	3.2597	3.1946	0.8917	2.4487																	
