Accession_Number	Identified Proteins (551)	Molecular Weight Aorta	Aorta ANOVA Test (P-Value	Classification		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN	Molecular Weight Coro	Coro ANOVA Test (P-Value		18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN	Entry	All_Pathways	Pathway	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle	Gene_names
EHD4_MOUSE	EH domain-containing protein 4 OS=Mus musculus GN=Ehd4 PE=1 SV=1	61 kDa	0.13			1.9143	3.4621	6.5785	3.4941	1.1215	3.3141	2.9485	3.4621	6.5785	7.0101	4.9998	10.423	13.052	4.0406	4.898	8.1034	5.7044	6.3892	3.5666	5.2201	61 kDa	0.11		7.0259	5.1605	0	6.5674	4.3049	4.6117	2.3388	3.7476	0	1.1032	1.7974	6.7654	3.7398	4.2382	5.4124	5.039	3.9828	5.9968	5.3523	5.1106	Q9EQP2																	
ENTP1_MOUSE	Ectonucleoside triphosphate diphosphohydrolase 1 OS=Mus musculus GN=Entpd1 PE=2 SV=1	57 kDa	0.52			0.9571	0.8655	1.0964	1.1647	0	0.8168	0	0.8655	1.0964	0	0.4905	1.8951	0.9323	0	1.2245	1.013	0.8149	1.5973	0.8917	1.1013	57 kDa	0.14		1.7565	1.7202	0.8978	1.0946	2.1524	1.5243	1.1694	0	1.2091	3.3095	1.422	1.1276	0	0	0	0.2819	1.5931	1.9989	1.0705	1.5542	P55772																	
ENTP2_MOUSE	Ectonucleoside triphosphate diphosphohydrolase 2 OS=Mus musculus GN=Entpd2 PE=1 SV=2	54 kDa	0.072			2.8714	3.4621	2.1928	1.1647	1.1215	2.1625	4.9142	3.4621	2.1928	0	2.6423	5.6853	4.6613	2.0203	4.898	4.3162	0.8149	0.7987	1.7833	1.1323	54 kDa	0.69		0	1.7202	0	0	0	0.344	0	0	1.2091	3.3095	1.1297	1.1276	0	0	1.0825	0.5525	0	0.9995	1.0705	0.69	O55026																	
EST1C_MOUSE	Carboxylesterase 1C OS=Mus musculus GN=Ces1c PE=1 SV=4	61 kDa	0.58			0.9571	0	0	0	0	0.1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61 kDa	0.94		0	0	0.8978	1.0946	0	0.3985	0	0	2.4182	0	0.6046	0	0	1.0595	0	0.2649	0	0	1.0705	0.3568	P23953																	
ETFA_MOUSE	Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2	35 kDa	0.17			5.7428	1.731	7.6749	1.1647	6.7289	4.6085	1.9657	1.731	7.6749	0	2.8429	0	0	1.0101	0	0.2525	5.7044	3.1946	0	2.9663	35 kDa	0.036		8.7824	16.342	11.671	9.8511	9.6859	11.2665	3.5082	4.9968	7.2547	14.341	7.5252	2.2551	6.5446	4.2382	5.4124	4.6126	19.118	10.994	9.6341	13.2487	Q99LC5																	
ETFB_MOUSE	Electron transfer flavoprotein subunit beta OS=Mus musculus GN=Etfb PE=1 SV=3	28 kDa	0.8			13.4	6.0587	13.157	4.6588	14.579	10.3707	1.9657	6.0587	13.157	14.02	8.8004	6.6328	8.3903	2.0203	12.245	7.3221	6.5194	11.181	8.0248	8.5751	28 kDa	0.027		19.321	27.523	31.423	24.08	18.296	24.1286	1.1694	6.246	3.6273	24.269	8.8279	24.806	21.504	21.191	15.155	20.664	18.321	16.991	20.339	18.5503	Q9DCW4																	
ETFD_MOUSE	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus GN=Etfdh PE=1 SV=1	68 kDa	0.5			0.9571	1.731	0	0	0	0.5376	0	1.731	0	0	0.4328	0	0	0	0	0	0	0	0	0	68 kDa	0.28		2.6347	2.5802	10.774	2.1891	4.3049	4.4966	4.6776	2.4984	0	0	1.794	2.2551	2.8048	4.2382	1.0825	2.5952	1.5931	0.9995	1.0705	1.221	Q921G7																	
FABP4_MOUSE	Fatty acid-binding protein, adipocyte OS=Mus musculus GN=Fabp4 PE=1 SV=3	15 kDa	0.25			6.7	10.386	4.3856	6.9882	20.187	9.7294	4.9142	10.386	4.3856	9.3469	7.2582	8.5279	11.187	14.142	11.02	11.2192	10.594	13.577	18.725	14.2987	15 kDa	0.28		3.513	1.7202	5.3868	3.2837	10.762	4.9331	4.6776	2.4984	1.2091	0	2.0963	1.1276	1.8699	3.1786	2.165	2.0853	1.5931	4.9973	3.2114	3.2673	P04117																	
FABPH_MOUSE	Fatty acid-binding protein, heart OS=Mus musculus GN=Fabp3 PE=1 SV=5	15 kDa	0.65			0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0.9476	0	0	0	0.2369	0.8149	0	0.8917	0.5689	15 kDa	0.47		10.539	15.481	11.671	9.8511	20.448	13.598	23.388	8.7444	6.0456	0	9.5445	9.0205	6.5446	7.4168	6.4949	7.3692	6.3725	10.994	13.916	10.4275	P11404																	
FBLI1_MOUSE	Filamin-binding LIM protein 1 OS=Mus musculus GN=Fblim1 PE=1 SV=2	41 kDa	0.37			12.443	9.5207	8.7713	0	11.215	8.39	5.897	9.5207	8.7713	1.1684	6.3394	8.5279	1.8645	11.112	2.449	5.9884	13.854	10.382	9.8081	11.348	41 kDa	0.58		0.8782	0	0	0	0	0.1756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Q71FD7																	
FHL1_MOUSE	Four and a half LIM domains protein 1 OS=Mus musculus GN=Fhl1 PE=1 SV=3	32 kDa	0.013			17.229	13.848	19.735	11.647	26.916	17.875	7.8627	13.848	19.735	15.189	14.1587	10.423	9.3226	7.071	6.1225	8.2348	26.892	24.758	16.05	22.5667	32 kDa	0.13		0	0.8601	0.8978	0	0	0.3516	0	1.2492	0	1.1032	0.5881	0	0	0	0	0	1.5931	0	2.1409	1.2447	P97447																	
FIBB_MOUSE	Fibrinogen beta chain OS=Mus musculus GN=Fgb PE=2 SV=1	55 kDa	0.2	ECM		1.9143	1.731	0	0	0	0.7291	1.9657	1.731	0	4.6734	2.0925	0	1.8645	1.0101	2.449	1.3309	0	0	0	0	55 kDa	0.35		2.6347	0	0	0	1.0762	0.7422	1.1694	0	0	0	0.2924	1.1276	0.9349	2.1191	1.0825	1.316	1.5931	0	3.2114	1.6015	Q8K0E8	Blood_Coagulation	Blood_Coagulation		Blood_Coagulation													Fgb
FMO2_MOUSE	Dimethylaniline monooxygenase [N-oxide-forming] 2 OS=Mus musculus GN=Fmo2 PE=1 SV=3	61 kDa	0.18			11.486	15.579	10.964	15.141	12.336	13.1012	9.8283	15.579	10.964	11.684	12.0138	11.371	12.119	12.122	14.694	12.5765	11.409	9.5838	8.0248	9.6725	61 kDa	0.12		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0825	0.2706	0.7966	0.9995	0	0.5987	Q8K2I3																	
FRIL1_MOUSE	Ferritin light chain 1 OS=Mus musculus GN=Ftl1 PE=1 SV=2	21 kDa	0.23			0.9571	0.8655	0	0	0	0.3645	0	0.8655	0	0	0.2164	0	0.9323	2.0203	1.2245	1.0443	0	0	0.8917	0.2972	21 kDa	0.37		0	0	1.7956	0	1.0762	0.5744	0	0	0	0	0	0	0.9349	0	0	0.2337	0	0	0	0	P29391																	
FUMH_MOUSE	Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh PE=1 SV=3	54 kDa	0.4			1.9143	0	1.0964	0	0	0.6021	0	0	1.0964	0	0.2741	0	0	0	0	0	1.6298	0.7987	0	0.8095	54 kDa	0.25		7.0259	8.6008	8.0802	4.3783	7.5335	7.1237	10.525	2.4984	6.0456	3.3095	5.5946	10.148	8.4144	9.5359	2.165	7.5658	11.948	8.9951	9.6341	10.1924	P97807	TCA_Cycle	TCA_Cycle														TCA_Cycle	Fh Fh1
G3P_MOUSE	Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2	36 kDa	0.034			16.271	20.773	21.928	18.635	50.467	25.6148	20.639	20.773	21.928	16.357	19.9243	25.584	20.51	21.213	7.3469	18.6635	44.821	46.321	33.883	41.675	36 kDa	0.0017		14.052	18.062	12.569	22.986	18.296	17.193	15.202	6.246	12.091	8.8253	10.5911	4.5102	9.3494	10.595	8.6599	8.2786	24.694	16.991	22.48	21.3883	P16858	Glycolysis, Huntington	Glycolysis								Glycolysis	Huntington						Gapdh Gapd
G6PI_MOUSE	Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4	63 kDa	0.48			15.314	13.848	13.157	11.647	13.458	13.4848	9.8283	13.848	13.157	12.852	12.4213	12.318	13.052	12.122	15.918	13.3525	10.594	7.9865	15.158	11.2462	63 kDa	0.011		8.7824	9.4609	10.774	6.5674	5.3811	8.1932	11.694	9.9936	9.6729	5.5158	9.2191	13.531	11.219	19.072	15.155	14.7443	10.355	8.9951	8.5636	9.3046	P06745	Glycolysis	Glycolysis								Glycolysis							Gpi Gpi1
GCYB1_MOUSE	Guanylate cyclase soluble subunit beta-1 OS=Mus musculus GN=Gucy1b3 PE=2 SV=1	71 kDa	0.041			0	0.8655	0	0	1.1215	0.3974	0.9828	0.8655	0	1.1684	0.7542	2.8426	3.729	1.0101	1.2245	2.2016	1.6298	0.7987	0	0.8095	71 kDa	0.12		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0825	0.2706	0.7966	0.9995	0	0.5987	O54865																	
GDIA_MOUSE	Rab GDP dissociation inhibitor alpha OS=Mus musculus GN=Gdi1 PE=1 SV=3	51 kDa	0.73			2.8714	4.3276	2.1928	4.6588	1.1215	3.0344	1.9657	4.3276	2.1928	2.3367	2.7057	0.9476	3.729	5.0507	2.449	3.0441	3.2597	0.7987	1.7833	1.9472	51 kDa	0.44		0	0.8601	0	0	0	0.172	0	0	0	0	0	0	0	1.0595	1.0825	0.5355	1.5931	0	0	0.531	P50396																	
GDIB_MOUSE	Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1	51 kDa	0.87			8.6143	12.983	8.7713	6.9882	5.6074	8.5928	3.9313	12.983	8.7713	0	6.4214	7.5804	12.119	8.0811	2.449	7.5574	7.3343	6.3892	9.8081	7.8439	51 kDa	0.1		2.6347	0.8601	0	0	0	0.699	0	1.2492	0	0	0.3123	3.3827	0.9349	1.0595	3.2475	2.1562	1.5931	0.9995	1.0705	1.221	Q61598																	
GDIR1_MOUSE	Rho GDP-dissociation inhibitor 1 OS=Mus musculus GN=Arhgdia PE=1 SV=3	23 kDa	0.67			2.8714	6.9242	10.964	4.6588	8.9719	6.8781	3.9313	6.9242	10.964	7.0101	7.2074	4.7377	6.5258	5.0507	11.02	6.8336	10.594	11.181	6.2415	9.3388	23 kDa	0.0011		3.513	4.3004	3.5912	2.1891	2.1524	3.1492	0	0	1.2091	2.2063	0.8539	4.5102	4.6747	3.1786	5.4124	4.444	3.1863	2.9984	4.2818	3.4888	Q99PT1																	
GFAP_MOUSE	Glial fibrillary acidic protein OS=Mus musculus GN=Gfap PE=1 SV=4	50 kDa	0.046			4.7857	5.1931	6.5785	22.129	3.3644	8.4101	11.794	5.1931	6.5785	12.852	9.1044	17.056	10.255	19.193	25.714	18.0545	4.8895	5.5905	2.6749	4.385	50 kDa	0.86		20.2	10.321	12.569	6.5674	29.058	15.7431	17.541	13.741	15.718	22.063	17.2658	20.296	9.3494	14.834	17.32	15.4499	15.135	11.994	12.845	13.3247	P03995																	
GNAI2_MOUSE	Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Mus musculus GN=Gnai2 PE=1 SV=5	40 kDa	0.43			5.7428	2.5966	5.4821	3.4941	5.6074	4.5846	0	2.5966	5.4821	4.6734	3.188	3.7902	3.729	1.0101	2.449	2.7446	2.4448	4.7919	2.6749	3.3039	40 kDa	0.01		2.6347	2.5802	1.7956	2.1891	3.2286	2.4856	1.1694	1.2492	0	0	0.6047	4.5102	0.9349	3.1786	3.2475	2.9678	2.3897	2.9984	3.2114	2.8665	P08752	Chemokine_Cytokine_Signaling	Chemokine_Cytokine_Signaling			Chemokine_Cytokine_Signaling												Gnai2 Gnai-2
GPX1_MOUSE	Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=1 SV=2	22 kDa	0.017			0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0.9476	0	1.0101	0	0.4894	1.6298	1.5973	0.8917	1.3729	22 kDa	0.086		0	0	0	0	0	0	0	0	0	0	0	0	0.9349	0	0	0.2337	0.7966	0	1.0705	0.6224	P11352																	
GPX3_MOUSE	Glutathione peroxidase 3 OS=Mus musculus GN=Gpx3 PE=2 SV=2	25 kDa	0.04			0	0.8655	0	0	1.1215	0.3974	0	0.8655	0	0	0.2164	1.8951	0.9323	2.0203	3.6735	2.1303	2.4448	0	0	0.8149	25 kDa	0.018		0	0	0	0	0	0	0	0	0	0	0	0	0	1.0595	0	0.2649	2.3897	2.9984	0	1.796	P46412																	
GRP75_MOUSE	Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3	73 kDa	0.063			5.7428	2.5966	4.3856	4.6588	3.3644	4.1496	1.9657	2.5966	4.3856	0	2.237	7.5804	9.3226	4.0406	3.6735	6.1543	4.0746	3.9932	4.4582	4.1753	73 kDa	0.57		9.6607	8.6008	17.058	16.418	9.6859	12.2847	12.863	7.4952	20.555	5.5158	11.6073	11.276	14.959	12.715	15.155	13.5263	11.152	6.9962	8.5636	8.9039	P38647	Parkinson	Parkinson												Parkinson			Hspa9 Grp75 Hsp74 Hspa9a
GRP78_MOUSE	78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3	72 kDa	0.37			28.714	26.831	29.603	27.953	21.308	26.8818	29.485	26.831	29.603	8.1785	23.5244	25.584	30.764	21.213	33.061	27.6555	21.188	22.362	16.05	19.8667	72 kDa	0.0066		15.808	13.761	17.058	18.608	17.219	16.4908	23.388	24.984	29.019	50.745	32.034	18.041	12.154	15.893	17.32	15.852	15.135	11.994	6.4227	11.1839	P20029	Parkinson	Parkinson												Parkinson			Hspa5 Grp78
GSTM1_MOUSE	Glutathione S-transferase Mu 1 OS=Mus musculus GN=Gstm1 PE=1 SV=2	26 kDa	0.054			14.357	23.369	15.35	17.47	22.43	18.5952	15.725	23.369	15.35	28.041	20.6213	19.898	21.442	27.274	34.286	25.725	28.522	31.946	27.641	29.3697	26 kDa	0.0016		3.513	6.8806	7.1824	3.2837	5.3811	5.2482	1.1694	1.2492	2.4182	3.3095	2.0366	10.148	7.4795	5.2977	9.7424	8.1669	7.9657	5.9968	6.4227	6.7951	P10649																	
GSTM2_MOUSE	Glutathione S-transferase Mu 2 OS=Mus musculus GN=Gstm2 PE=1 SV=2	26 kDa	0.0083			10.529	13.848	9.8677	13.976	15.701	12.7843	10.811	13.848	9.8677	12.852	11.8447	13.266	13.052	21.213	23.265	17.699	22.818	21.563	18.725	21.0353	26 kDa	0.02		1.7565	3.4403	2.6934	0	3.2286	2.2238	1.1694	1.2492	2.4182	3.3095	2.0366	5.6378	4.6747	3.1786	5.4124	4.7259	4.7794	2.9984	3.2114	3.6631	P15626																	
GSTP1_MOUSE	Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2	24 kDa	0.0007			0.9571	4.3276	3.2892	5.8235	5.6074	4.001	0.9828	4.3276	3.2892	2.3367	2.7341	8.5279	6.5258	10.101	12.245	9.3499	7.3343	8.7851	8.0248	8.0481	24 kDa	0.013		0.8782	1.7202	0.8978	0	2.1524	1.1297	3.5082	0	1.2091	0	1.1793	3.3827	2.8048	4.2382	4.3299	3.6889	3.1863	1.9989	2.1409	2.442	P19157																	
H10_MOUSE	Histone H1.0 OS=Mus musculus GN=H1f0 PE=2 SV=4	21 kDa	0.43			0	0	0	0	0	0	0	0	0	4.6734	1.1684	0	0	0	0	0	0	0	0	0	21 kDa	0.58		0.8782	0	0	0	0	0.1756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P10922																	
H13_MOUSE 	Histone H1.3 OS=Mus musculus GN=Hist1h1d PE=1 SV=2	22 kDa	0.33			0.9571	0	0	0	1.1215	0.4157	0	0	0	4.6734	1.1684	0	0	0	0	0	0.8149	2.3959	1.7833	1.6647	22 kDa	0.43		0	0	0	0	0	0	0	1.2492	0	0	0.3123	0	0	0	0	0	0	0	0	0	P43277																	
H2A2A_MOUSE 	Histone H2A type 2-A OS=Mus musculus GN=Hist2h2aa1 PE=1 SV=3	14 kDa	0.49			27.757	34.621	32.892	32.611	50.467	35.6696	25.554	34.621	32.892	89.963	45.7575	50.22	48.477	55.558	57.551	52.9515	44.821	35.14	56.174	45.3783	14 kDa	0.55		41.277	30.963	35.014	33.932	50.582	38.3536	53.793	62.46	51.992	12.135	45.095	52.995	43.007	43.441	57.372	49.2038	43.015	59.968	48.17	50.3843	Q6GSS7																	
H2AZ_MOUSE 	Histone H2A.Z OS=Mus musculus GN=H2afz PE=1 SV=2	14 kDa	0.66			13.4	17.31	0	0	19.065	9.955	0	17.31	0	35.051	13.0903	24.636	19.577	22.223	0	16.609	18.743	15.174	26.749	20.222	14 kDa	0.39		15.808	9.4609	0	16.418	0	8.3374	19.88	18.738	15.718	0	13.584	23.679	0	0	22.732	11.6028	15.931	23.987	22.48	20.7993	P0C0S6																	
H4_MOUSE	Histone H4 OS=Mus musculus GN=Hist1h4a PE=1 SV=2	11 kDa	0.19			25.843	19.041	16.446	23.294	29.159	22.7566	21.622	19.041	16.446	52.576	27.4213	36.007	39.155	36.365	37.959	37.3715	23.633	31.946	38.341	31.3067	11 kDa	0.62		25.469	22.362	15.263	24.08	25.829	22.6006	40.929	23.735	22.973	1.1032	22.1851	24.806	28.048	21.191	32.475	26.63	25.49	33.982	31.043	30.1717	P62806																	
HBA_MOUSE	Hemoglobin subunit alpha OS=Mus musculus GN=Hba PE=1 SV=2	15 kDa	0.85			27.757	24.235	19.735	37.27	38.13	29.4254	18.674	24.235	19.735	37.387	25.0078	12.318	34.493	38.385	34.286	29.8705	19.558	43.926	29.424	30.9693	15 kDa	0.56		28.104	61.926	80.802	70.052	145.29	77.2348	46.776	89.943	55.619	4.4126	49.1877	56.378	190.73	143.04	28.145	104.5733	64.522	40.978	195.89	100.4633	P01942																	
HBB1_MOUSE	Hemoglobin subunit beta-1 OS=Mus musculus GN=Hbb-b1 PE=1 SV=2	16 kDa	0.13			27.757	20.773	26.314	34.941	47.102	31.3774	15.725	20.773	26.314	18.694	20.3765	18.003	41.019	40.406	47.755	36.7958	27.707	36.738	31.208	31.8843	16 kDa	0.4		55.329	79.988	89.78	80.998	200.18	101.255	64.317	89.943	62.874	11.032	57.0415	74.419	220.65	157.87	63.867	129.2015	79.657	68.963	217.3	121.9733	P02088																	
HBB2_MOUSE	Hemoglobin subunit beta-2 OS=Mus musculus GN=Hbb-b2 PE=1 SV=2	16 kDa	0.25			8.6143	8.6552	0	12.812	16.822	9.3807	6.8798	8.6552	0	11.684	6.8048	5.6853	13.052	11.112	14.694	11.1358	12.224	17.57	14.266	14.6867	16 kDa	0.51		20.2	30.103	35.014	38.31	54.887	35.7028	28.066	32.479	20.555	0	20.275	20.296	49.552	47.68	19.485	34.2533	26.287	17.99	71.72	38.6657	P02089																	
HCD2_MOUSE	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=4	27 kDa	0.098			0.9571	1.731	0	3.4941	2.243	1.685	0.9828	1.731	0	0	0.6785	0.9476	1.8645	2.0203	1.2245	1.5142	3.2597	3.1946	1.7833	2.7459	27 kDa	0.01		2.6347	1.7202	2.6934	3.2837	3.2286	2.7121	0	0	0	3.3095	0.8274	4.5102	3.7398	3.1786	3.2475	3.669	2.3897	2.9984	2.1409	2.5097	O08756																	
HCDH_MOUSE	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus GN=Hadh PE=1 SV=2	34 kDa	0.46			0.9571	0.8655	1.0964	0	4.4859	1.481	0	0.8655	1.0964	0	0.4905	0.9476	0.9323	1.0101	0	0.7225	4.8895	1.5973	0	2.1623	34 kDa	0.64		4.3912	3.4403	4.489	6.5674	4.3049	4.6386	4.6776	3.7476	3.6273	4.4126	4.1163	3.3827	5.6096	2.1191	4.3299	3.8603	4.7794	3.9978	5.3523	4.7098	Q61425																	
HNRH1_MOUSE	Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus GN=Hnrnph1 PE=1 SV=3	49 kDa	0.4			1.9143	3.4621	2.1928	3.4941	1.1215	2.437	1.9657	3.4621	2.1928	2.3367	2.4893	2.8426	2.7968	2.0203	2.449	2.5272	1.6298	1.5973	1.7833	1.6701	49 kDa	0.06		1.7565	2.5802	0.8978	0	0	1.0469	1.1694	1.2492	1.2091	1.1032	1.1827	2.2551	2.8048	1.0595	2.165	2.0711	0.7966	0	0	0.2655	O35737																	
HNRPD_MOUSE	Heterogeneous nuclear ribonucleoprotein D0 OS=Mus musculus GN=Hnrnpd PE=1 SV=2	38 kDa	0.98			0	1.731	0	0	0	0.3462	0	1.731	0	0	0.4328	0.9476	0	1.0101	0	0.4894	0	0	0.8917	0.2972	38 kDa	0.17		0	0.8601	0	0	0	0.172	0	0	0	0	0	0	0	0	1.0825	0.2706	1.5931	0.9995	0	0.8642	Q60668																	
HNRPF_MOUSE	Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus GN=Hnrnpf PE=1 SV=3	46 kDa	0.33			0.9571	1.731	0	0	1.1215	0.7619	0.9828	1.731	0	0	0.6785	2.8426	1.8645	2.0203	0	1.6819	1.6298	1.5973	0.8917	1.3729	46 kDa	0.35		0.8782	0.8601	0	0	0	0.3477	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332	Q9Z2X1																	
HNRPK_MOUSE	Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus GN=Hnrnpk PE=1 SV=1	51 kDa	0.24			5.7428	0.8655	1.0964	1.1647	0	1.7739	2.9485	0.8655	1.0964	7.0101	2.9801	4.7377	4.6613	5.0507	3.6735	4.5308	4.8895	3.1946	3.5666	3.8836	51 kDa	0.24		0.8782	0	0	0	0	0.1756	0	0	0	0	0	1.1276	0	0	1.0825	0.5525	0.7966	0.9995	0	0.5987	P61979																	
HNRPM_MOUSE	Heterogeneous nuclear ribonucleoprotein M OS=Mus musculus GN=Hnrnpm PE=1 SV=3	78 kDa	0.26			0	0	1.0964	1.1647	0	0.4522	0	0	1.0964	0	0.2741	1.8951	2.7968	1.0101	0	1.4255	1.6298	0	0	0.5433	78 kDa	0.43		0	0	0	0	0	0	0	0	0	2.2063	0.5516	0	0	0	0	0	0	0	0	0	Q9D0E1																	
HS71L_MOUSE	Heat shock 70 kDa protein 1-like OS=Mus musculus GN=Hspa1l PE=2 SV=4	71 kDa	0.61			16.271	12.117	14.253	12.812	13.458	13.7822	9.8283	12.117	14.253	21.03	14.3071	13.266	15.848	10.101	19.592	14.7018	12.224	13.577	8.0248	11.2753	71 kDa	0.58		0	0	0	0	0	0	10.525	0	0	0	2.6313	0	0	0	7.5774	1.8944	0	0	0	0	P16627	Parkinson	Parkinson												Parkinson			Hspa1l Hsc70t
HS90A_MOUSE	Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4	85 kDa	0.27			16.271	12.983	15.35	15.141	12.336	14.4162	18.674	12.983	15.35	0	11.7518	12.318	18.645	18.183	24.49	18.409	11.409	13.577	11.591	12.1923	85 kDa	0.81		7.0259	8.6008	6.2846	13.135	9.6859	8.9464	7.0164	4.9968	12.091	18.754	10.7146	10.148	12.154	9.5359	11.907	10.9362	7.1691	11.994	8.5636	9.2422	P07901																	
HS90B_MOUSE	Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3	83 kDa	0.26			17.229	20.773	20.832	19.8	13.458	18.4184	23.588	20.773	20.832	0	16.2983	19.898	21.442	21.213	30.612	23.2913	13.854	15.973	10.7	13.509	83 kDa	0.076		7.9042	11.181	9.8759	16.418	10.762	11.2282	12.863	11.243	25.391	26.476	18.9933	13.531	13.089	9.5359	11.907	12.0157	9.5588	11.994	9.6341	10.3956	P11499																	
HSP72_MOUSE	Heat shock-related 70 kDa protein 2 OS=Mus musculus GN=Hspa2 PE=1 SV=2	70 kDa	0.28			27.757	26.831	26.314	29.117	20.187	26.0412	15.725	26.831	26.314	29.209	24.5198	26.531	28.9	24.243	35.51	28.796	22.818	24.758	17.833	21.803	70 kDa	0.13		14.93	12.901	17.956	19.702	17.219	16.5416	19.88	18.738	18.137	24.269	20.256	20.296	15.894	16.953	18.402	17.8863	15.135	17.99	16.057	16.394	P17156	Parkinson	Parkinson												Parkinson			Hspa2 Hcp70.2 Hsp70-2
HSP7C_MOUSE	Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1	71 kDa	0.19			46.9	46.738	51.531	44.258	39.252	45.7358	24.571	46.738	51.531	44.398	41.8095	48.325	46.613	45.456	62.449	50.7108	41.561	39.932	28.533	36.6753	71 kDa	0.15		31.617	24.942	33.219	41.594	35.515	33.3774	38.59	36.227	36.273	39.714	37.701	39.465	33.658	36.025	31.392	35.135	27.88	32.982	28.902	29.9213	P63017	Parkinson	Parkinson												Parkinson			Hspa8 Hsc70 Hsc73
HSPB1_MOUSE	Heat shock protein beta-1 OS=Mus musculus GN=Hspb1 PE=1 SV=3	23 kDa	0.37			8.6143	11.252	9.8677	8.1528	15.701	10.7176	4.9142	11.252	9.8677	9.3469	8.8452	6.6328	9.3226	9.0913	14.694	9.9352	11.409	15.973	11.591	12.991	23 kDa	0.0042		7.0259	6.8806	5.3868	8.7565	4.3049	6.4709	0	2.4984	2.4182	3.3095	2.0565	11.276	9.3494	5.2977	7.5774	8.3751	4.7794	8.9951	6.4227	6.7324	P14602																	
IDH3A_MOUSE	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1	40 kDa	0.065			1.9143	1.731	4.3856	1.1647	4.4859	2.7363	0	1.731	4.3856	2.3367	2.1133	0	0	0	0	0	3.2597	4.7919	0.8917	2.9811	40 kDa	0.097		9.6607	13.761	12.569	9.8511	13.991	11.9666	9.3553	3.7476	8.4638	8.8253	7.598	7.8929	9.3494	10.595	5.4124	8.3124	15.931	8.9951	8.5636	11.1632	Q9D6R2																	
