Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN		Entry	All_Pathways	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
SRCA_MOUSE	Sarcalumenin OS=Mus musculus GN=Srl PE=1 SV=1	99 kDa	0.047	14.052	18.062	16.16	8.7565	5.3811	12.4823	9.3553	6.246	6.0456	7.7221	7.3423	12.403	17.764	13.774	14.072	14.5033	8.7622	9.9946	9.6341	9.4636		Q7TQ48															
SERPH_MOUSE	Serpin H1 OS=Mus musculus GN=Serpinh1 PE=1 SV=3	47 kDa	0.048	0.8782	0	0	0	0	0.1756	3.5082	1.2492	1.2091	6.619	3.1464	2.2551	0.9349	2.1191	1.0825	1.5979	1.5931	0.9995	2.1409	1.5778		P19324															
RAB5B_MOUSE	Ras-related protein Rab-5B OS=Mus musculus GN=Rab5b PE=1 SV=1	24 kDa	0.05	0	0	0	0	2.1524	0.4305	0	0	0	0	0	3.3827	0	2.1191	2.165	1.9167	0.7966	0	0	0.2655		P61021															
S10AB_MOUSE	Protein S100-A11 OS=Mus musculus GN=S100a11 PE=2 SV=1	11 kDa	0.05	0.8782	0.8601	0	0	2.1524	0.7781	2.3388	2.4984	1.2091	0	1.5116	2.2551	1.8699	2.1191	1.0825	1.8317	0	0	0	0		P50543															
RAB7A_MOUSE	Ras-related protein Rab-7a OS=Mus musculus GN=Rab7a PE=1 SV=2	23 kDa	0.053	1.7565	0.8601	0	0	2.1524	0.9538	0	0	0	0	0	0	0.9349	1.0595	1.0825	0.7692	1.5931	1.9989	1.0705	1.5542		P51150															
IMMT_MOUSE	Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1	84 kDa	0.054	4.3912	1.7202	1.7956	0	2.1524	2.0119	11.694	4.9968	15.718	1.1032	8.378	1.1276	0	4.2382	0	1.3415	3.1863	1.9989	2.1409	2.442		Q8CAQ8															
AT1A1_MOUSE	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Mus musculus GN=Atp1a1 PE=1 SV=1	113 kDa	0.055	5.2694	4.3004	5.3868	5.4728	4.3049	4.9469	8.1859	4.9968	9.6729	5.5158	7.0929	3.3827	5.6096	5.2977	4.3299	4.655	4.7794	4.9973	2.1409	3.9725		Q8VDN2															
RS16_MOUSE	40S ribosomal protein S16 OS=Mus musculus GN=Rps16 PE=2 SV=4	16 kDa	0.056	1.7565	0	0	0	1.0762	0.5665	0	0	0	0	0	0	0	0	1.0825	0.2706	0	2.9984	3.2114	2.0699		P14131															
HS71A_MOUSE	Heat shock 70 kDa protein 1A OS=Mus musculus GN=Hspa1a PE=1 SV=2	70 kDa	0.057	7.9042	0	9.8759	9.8511	5.3811	6.6025	10.525	9.9936	7.2547	26.476	13.5623	0	5.6096	7.4168	6.4949	4.8803	0	0	4.2818	1.4273		Q61696	Parkinson												Parkinson		
K2C8_MOUSE	"Keratin, type II cytoskeletal 8 OS=Mus musculus GN=Krt8 PE=1 SV=4"	55 kDa	0.057	13.174	11.181	10.774	0	2.1524	7.4563	5.847	0	8.4638	0	3.5777	0	0	0	0	0	0	0	0	0		P11679															
CHCH3_MOUSE	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial OS=Mus musculus GN=Chchd3 PE=1 SV=1"	26 kDa	0.058	4.3912	7.7407	7.1824	7.662	1.0762	5.6105	0	0	0	5.5158	1.379	3.3827	2.8048	2.1191	0	2.0767	2.3897	1.9989	1.0705	1.8197		Q9CRB9															
RAB5A_MOUSE	Ras-related protein Rab-5A OS=Mus musculus GN=Rab5a PE=1 SV=1	24 kDa	0.058	0	0	0	0	1.0762	0.2152	0	0	0	0	0	0	2.8048	1.0595	1.0825	1.2367	0	0	0	0		Q9CQD1															
ANXA1_MOUSE	Annexin A1 OS=Mus musculus GN=Anxa1 PE=1 SV=2	39 kDa	0.06	7.9042	5.1605	5.3868	6.5674	1.0762	5.219	3.5082	2.4984	0	5.5158	2.8806	7.8929	4.6747	3.1786	2.165	4.4778	7.1691	8.9951	8.5636	8.2426		P10107															
CAD13_MOUSE	Cadherin-13 OS=Mus musculus GN=Cdh13 PE=1 SV=2	78 kDa	0.06	2.6347	1.7202	2.6934	2.1891	1.0762	2.0627	1.1694	1.2492	6.0456	2.2063	2.6676	0	0.9349	0	0	0.2337	1.5931	0	0	0.531		Q9WTR5															
HNRH1_MOUSE	Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus GN=Hnrnph1 PE=1 SV=3	49 kDa	0.06	1.7565	2.5802	0.8978	0	0	1.0469	1.1694	1.2492	1.2091	1.1032	1.1827	2.2551	2.8048	1.0595	2.165	2.0711	0.7966	0	0	0.2655		O35737															
TBB4B_MOUSE	Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1	50 kDa	0.061	30.738	31.823	27.832	29.553	21.524	28.294	11.694	22.486	15.718	38.611	22.1273	37.21	28.983	39.203	42.217	36.9033	32.659	34.981	31.043	32.8943		P68372	"Cytoskeleton, Huntington"				Cytoskeleton					Huntington					
MPCP_MOUSE	"Phosphate carrier protein, mitochondrial OS=Mus musculus GN=Slc25a3 PE=1 SV=1"	40 kDa	0.062	12.295	16.342	22.445	13.135	9.6859	14.7806	4.6776	7.4952	13.3	15.444	10.2292	11.276	7.4795	3.1786	0	5.4835	10.355	8.9951	7.4932	8.9478		Q8VEM8															
PTRF_MOUSE	Polymerase I and transcript release factor OS=Mus musculus GN=Ptrf PE=1 SV=1	44 kDa	0.062	28.104	27.523	26.036	13.135	8.6097	20.6815	5.847	13.741	1.2091	12.135	8.233	19.169	14.024	19.072	31.392	20.9143	20.711	26.985	19.268	22.3213		O54724															
VDAC2_MOUSE	Voltage-dependent anion-selective channel protein 2 OS=Mus musculus GN=Vdac2 PE=1 SV=2	32 kDa	0.063	3.513	5.1605	8.0802	5.4728	2.1524	4.8758	3.5082	3.7476	3.6273	4.4126	3.8239	1.1276	0.9349	0	3.2475	1.3275	9.5588	3.9978	3.2114	5.5893		Q60930															
AATM_MOUSE	"Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1"	47 kDa	0.065	15.808	23.222	23.343	12.04	17.219	18.3264	16.372	3.7476	7.2547	16.547	10.9803	19.169	14.959	15.893	8.6599	14.6702	18.321	21.988	25.691	22		P05202															
MYH6_MOUSE	Myosin-6 OS=Mus musculus GN=Myh6 PE=1 SV=2	224 kDa	0.065	374.13	407.68	454.29	443.3	433.71	422.622	523.89	333.54	545.31	404.86	451.9	387.88	410.44	447.13	333.41	394.715	371.2	301.84	257.98	310.34		Q02566	"Chemokine_Cytokine_Signaling, Cytoskeleton"			Chemokine_Cytokine_Signaling	Cytoskeleton										
PGM5_MOUSE	Phosphoglucomutase-like protein 5 OS=Mus musculus GN=Pgm5 PE=1 SV=2	62 kDa	0.065	0.8782	0.8601	0	0	0	0.3477	2.3388	2.4984	1.2091	0	1.5116	6.7654	0	3.1786	7.5774	4.3804	1.5931	0.9995	4.2818	2.2915		Q8BZF8															
ACTBL_MOUSE	Beta-actin-like protein 2 OS=Mus musculus GN=Actbl2 PE=1 SV=1	42 kDa	0.068	167.74	156.53	135.57	149.96	136.68	149.296	153.19	176.14	168.07	163.27	165.1675	156.73	169.22	179.06	201.34	176.5875	152.94	161.91	168.06	160.97		Q8BFZ3	"Chemokine_Cytokine_Signaling, Cytoskeleton, Huntington, Integrin"			Chemokine_Cytokine_Signaling	Cytoskeleton					Huntington	Integrin				
ATPO_MOUSE	"ATP synthase subunit O, mitochondrial OS=Mus musculus GN=Atp5o PE=1 SV=1"	23 kDa	0.069	7.9042	9.4609	10.774	5.4728	10.762	8.8748	12.863	6.246	6.0456	2.2063	6.8402	10.148	15.894	11.655	14.072	12.9423	11.948	8.9951	9.6341	10.1924		Q9DB20															
DPYL2_MOUSE	Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2	62 kDa	0.07	3.513	2.5802	2.6934	0	1.0762	1.9726	0	1.2492	0	0	0.3123	4.5102	0.9349	4.2382	1.0825	2.6915	3.1863	3.9978	2.1409	3.1083		O08553															
TAGL2_MOUSE	Transgelin-2 OS=Mus musculus GN=Tagln2 PE=1 SV=4	22 kDa	0.07	8.7824	12.901	9.8759	8.7565	8.6097	9.7851	16.372	1.2492	2.4182	2.2063	5.5614	11.276	12.154	11.655	15.155	12.56	14.338	13.992	11.775	13.3683		Q9WVA4															
A2M_MOUSE	Alpha-2-macroglobulin OS=Mus musculus GN=A2m PE=1 SV=3	166 kDa	0.071	0.8782	2.5802	3.5912	5.4728	3.2286	3.1502	0	0	7.2547	0	1.8137	0	0	1.0595	0	0.2649	8.7622	0.9995	10.705	6.8222		Q61838	Blood_Coagulation		Blood_Coagulation												
NDUS7_MOUSE	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Mus musculus GN=Ndufs7 PE=1 SV=1"	25 kDa	0.071	0.8782	3.4403	2.6934	2.1891	1.0762	2.0554	2.3388	0	0	0	0.5847	2.2551	0.9349	1.0595	1.0825	1.333	0.7966	0	0	0.2655		Q9DC70															
TBB2A_MOUSE	Tubulin beta-2A chain OS=Mus musculus GN=Tubb2a PE=1 SV=1	50 kDa	0.072	24.591	20.642	17.956	14.229	15.067	18.497	7.0164	16.24	9.6729	20.96	13.4723	23.679	15.894	27.548	32.475	24.899	23.1	21.988	17.127	20.7383		Q7TMM9	"Cytoskeleton, Huntington"				Cytoskeleton					Huntington					
PSB6_MOUSE	Proteasome subunit beta type-6 OS=Mus musculus GN=Psmb6 PE=1 SV=3	25 kDa	0.074	0	0.8601	0.8978	0	0	0.3516	0	0	0	0	0	0	0	0	0	0	0	0.9995	2.1409	1.0468		Q60692															
H2A2B_MOUSE	Histone H2A type 2-B OS=Mus musculus GN=Hist2h2ab PE=1 SV=3	14 kDa	0.076	0	0	0	0	17.219	3.4438	0	18.738	15.718	0	8.614	0	15.894	0	0	3.9735	15.135	23.987	19.268	19.4633		Q64522															
HS90B_MOUSE	Heat shock protein HSP 90-beta OS=Mus musculus GN=Hsp90ab1 PE=1 SV=3	83 kDa	0.076	7.9042	11.181	9.8759	16.418	10.762	11.2282	12.863	11.243	25.391	26.476	18.9933	13.531	13.089	9.5359	11.907	12.0157	9.5588	11.994	9.6341	10.3956		P11499															
SPB6_MOUSE	Serpin B6 OS=Mus musculus GN=Serpinb6 PE=2 SV=1	43 kDa	0.076	2.6347	1.7202	1.7956	0	0	1.2301	0	0	0	0	0	0	0	0	0	0	1.5931	0	1.0705	0.8879		Q60854															
ACTC_MOUSE	"Actin, alpha cardiac muscle 1 OS=Mus musculus GN=Actc1 PE=1 SV=1"	42 kDa	0.078	458.44	428.32	439.92	447.68	375.6	429.992	388.24	410.99	409.89	428.03	409.2875	467.94	434.75	464.08	508.77	468.885	405.45	476.74	469.93	450.7067		P68033	"Chemokine_Cytokine_Signaling, Cytoskeleton, Huntington"			Chemokine_Cytokine_Signaling	Cytoskeleton					Huntington					
NDUBA_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Mus musculus GN=Ndufb10 PE=1 SV=3	21 kDa	0.081	4.3912	2.5802	3.5912	1.0946	3.2286	2.9772	5.847	0	0	0	1.4618	4.5102	5.6096	4.2382	5.4124	4.9426	4.7794	2.9984	3.2114	3.6631		Q9DCS9															
CO6A1_MOUSE	Collagen alpha-1(VI) chain OS=Mus musculus GN=Col6a1 PE=2 SV=1	108 kDa	0.082	13.174	13.761	12.569	18.608	9.6859	13.5596	15.202	27.482	58.037	17.651	29.593	15.786	6.5446	6.3573	9.7424	9.6076	15.135	19.989	14.986	16.7033		Q04857	"Chemokine_Cytokine_Signaling, Integrin"			Chemokine_Cytokine_Signaling							Integrin				
PRDBP_MOUSE	Protein kinase C delta-binding protein OS=Mus musculus GN=Prkcdbp PE=1 SV=1	28 kDa	0.082	1.7565	1.7202	2.6934	0	1.0762	1.4493	1.1694	0	0	0	0.2924	1.1276	0	3.1786	0	1.0766	1.5931	2.9984	3.2114	2.601		Q91VJ2															
MYH10_MOUSE	Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2	229 kDa	0.084	30.738	25.802	17.956	27.364	20.448	24.4616	33.913	43.722	39.901	25.373	35.7273	23.679	19.634	27.548	35.722	26.6458	25.49	27.985	26.761	26.7453		Q61879	"Chemokine_Cytokine_Signaling, Cytoskeleton"			Chemokine_Cytokine_Signaling	Cytoskeleton										
GPX1_MOUSE	Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=1 SV=2	22 kDa	0.086	0	0	0	0	0	0	0	0	0	0	0	0	0.9349	0	0	0.2337	0.7966	0	1.0705	0.6224		P11352															
PHB_MOUSE	Prohibitin OS=Mus musculus GN=Phb PE=1 SV=1	30 kDa	0.087	0	2.5802	4.489	0	2.1524	1.8443	0	0	0	1.1032	0.2758	5.6378	4.6747	2.1191	2.165	3.6492	3.9828	1.9989	0	1.9939		P67778															
CISY_MOUSE	"Citrate synthase, mitochondrial OS=Mus musculus GN=Cs PE=1 SV=1"	52 kDa	0.088	15.808	14.621	15.263	8.7565	12.915	13.4727	12.863	1.2492	6.0456	9.9284	7.5216	9.0205	11.219	9.5359	7.5774	9.3382	12.745	8.9951	9.6341	10.4581		Q9CZU6	"Pyruvate_Metabolism, TCA_Cycle"													Pyruvate_Metabolism	TCA_Cycle
CSRP2_MOUSE	Cysteine and glycine-rich protein 2 OS=Mus musculus GN=Csrp2 PE=1 SV=3	21 kDa	0.089	7.0259	5.1605	2.6934	3.2837	4.3049	4.4937	4.6776	2.4984	0	1.1032	2.0698	3.3827	2.8048	3.1786	8.6599	4.5065	3.1863	9.9946	9.6341	7.605		P97314															
SCOT1_MOUSE	"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Mus musculus GN=Oxct1 PE=1 SV=1"	56 kDa	0.089	9.6607	11.181	8.0802	4.3783	2.1524	7.0905	4.6776	2.4984	1.2091	3.3095	2.9237	11.276	4.6747	6.3573	6.4949	7.2007	4.7794	2.9984	3.2114	3.6631		Q9D0K2															
LGUL_MOUSE	Lactoylglutathione lyase OS=Mus musculus GN=Glo1 PE=1 SV=3	21 kDa	0.093	1.7565	1.7202	0.8978	1.0946	2.1524	1.5243	2.3388	0	0	0	0.5847	1.1276	3.7398	2.1191	2.165	2.2879	1.5931	0.9995	1.0705	1.221		Q9CPU0															
ATP5L_MOUSE	"ATP synthase subunit g, mitochondrial OS=Mus musculus GN=Atp5l PE=1 SV=1"	11 kDa	0.094	1.7565	1.7202	1.7956	2.1891	3.2286	2.138	3.5082	3.7476	10.882	2.2063	5.086	1.1276	0.9349	3.1786	1.0825	1.5809	1.5931	1.9989	0	1.1973		Q9CPQ8															
DHSB_MOUSE	"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Mus musculus GN=Sdhb PE=1 SV=1"	32 kDa	0.096	2.6347	5.1605	7.1824	2.1891	4.3049	4.2943	0	0	1.2091	3.3095	1.1297	6.7654	7.4795	2.1191	3.2475	4.9029	5.576	2.9984	2.1409	3.5718		Q9CQA3															
IDH3A_MOUSE	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1"	40 kDa	0.097	9.6607	13.761	12.569	9.8511	13.991	11.9666	9.3553	3.7476	8.4638	8.8253	7.598	7.8929	9.3494	10.595	5.4124	8.3124	15.931	8.9951	8.5636	11.1632		Q9D6R2															
ARPC5_MOUSE	Actin-related protein 2/3 complex subunit 5 OS=Mus musculus GN=Arpc5 PE=2 SV=3	16 kDa	0.1	0	0.8601	0	0	1.0762	0.3873	0	0	0	0	0	0	0.9349	1.0595	3.2475	1.3105	0.7966	0.9995	2.1409	1.3123		Q9CPW4	"Chemokine_Cytokine_Signaling, Cytoskeleton, Huntington, Integrin"			Chemokine_Cytokine_Signaling	Cytoskeleton					Huntington	Integrin				
GDIB_MOUSE	Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1	51 kDa	0.1	2.6347	0.8601	0	0	0	0.699	0	1.2492	0	0	0.3123	3.3827	0.9349	1.0595	3.2475	2.1562	1.5931	0.9995	1.0705	1.221		Q61598															
ANXA5_MOUSE	Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1	36 kDa	0.11	32.495	23.222	24.241	22.986	21.524	24.8936	9.3553	27.482	18.137	30.888	21.4656	15.786	16.829	21.191	23.815	19.4053	29.473	34.981	28.902	31.1187		P48036															
CPT1B_MOUSE	"Carnitine O-palmitoyltransferase 1, muscle isoform OS=Mus musculus GN=Cpt1b PE=2 SV=1"	88 kDa	0.11	3.513	4.3004	6.2846	4.3783	4.3049	4.5562	4.6776	0	6.0456	3.3095	3.5082	2.2551	0.9349	1.0595	2.165	1.6036	4.7794	0.9995	1.0705	2.2831		Q924X2															
EHD4_MOUSE	EH domain-containing protein 4 OS=Mus musculus GN=Ehd4 PE=1 SV=1	61 kDa	0.11	7.0259	5.1605	0	6.5674	4.3049	4.6117	2.3388	3.7476	0	1.1032	1.7974	6.7654	3.7398	4.2382	5.4124	5.039	3.9828	5.9968	5.3523	5.1106		Q9EQP2															
UCRI_MOUSE	"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus GN=Uqcrfs1 PE=1 SV=1"	29 kDa	0.11	0.8782	1.7202	3.5912	1.0946	1.0762	1.6721	1.1694	0	0	0	0.2924	0	0.9349	1.0595	0	0.4986	1.5931	0	1.0705	0.8879		Q9CR68															
VINC_MOUSE	Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4	117 kDa	0.11	53.573	46.444	48.481	71.147	38.744	51.6778	53.793	51.217	73.756	76.118	63.721	50.74	22.439	37.084	57.372	41.9088	44.608	45.975	40.677	43.7533		Q64727	Integrin										Integrin				
ACOT2_MOUSE	"Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus GN=Acot2 PE=1 SV=2"	50 kDa	0.12	1.7565	0	0.8978	0	2.1524	0.9613	1.1694	0	0	0	0.2924	0	0.9349	0	0	0.2337	3.1863	0.9995	1.0705	1.7521		Q9QYR9															
FMO2_MOUSE	Dimethylaniline monooxygenase [N-oxide-forming] 2 OS=Mus musculus GN=Fmo2 PE=1 SV=3	61 kDa	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0825	0.2706	0.7966	0.9995	0	0.5987		Q8K2I3															
GCYB1_MOUSE	Guanylate cyclase soluble subunit beta-1 OS=Mus musculus GN=Gucy1b3 PE=2 SV=1	71 kDa	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0825	0.2706	0.7966	0.9995	0	0.5987		O54865															
PGK1_MOUSE	Phosphoglycerate kinase 1 OS=Mus musculus GN=Pgk1 PE=1 SV=4	45 kDa	0.12	1.7565	0.8601	0.8978	0	1.0762	0.9181	2.3388	1.2492	1.2091	1.1032	1.4751	0	1.8699	1.0595	0	0.7324	2.3897	0.9995	3.2114	2.2002		P09411	Glycolysis								Glycolysis						
RAB2A_MOUSE	Ras-related protein Rab-2A OS=Mus musculus GN=Rab2a PE=1 SV=1	24 kDa	0.12	0	0	0	0	0	0	0	0	0	0	0	1.1276	0	0	2.165	0.8232	0	0.9995	1.0705	0.69		P53994															
FHL1_MOUSE	Four and a half LIM domains protein 1 OS=Mus musculus GN=Fhl1 PE=1 SV=3	32 kDa	0.13	0	0.8601	0.8978	0	0	0.3516	0	1.2492	0	1.1032	0.5881	0	0	0	0	0	1.5931	0	2.1409	1.2447		P97447															
HSP72_MOUSE	Heat shock-related 70 kDa protein 2 OS=Mus musculus GN=Hspa2 PE=1 SV=2	70 kDa	0.13	14.93	12.901	17.956	19.702	17.219	16.5416	19.88	18.738	18.137	24.269	20.256	20.296	15.894	16.953	18.402	17.8863	15.135	17.99	16.057	16.394		P17156	Parkinson												Parkinson		
K2C1_MOUSE	"Keratin, type II cytoskeletal 1 OS=Mus musculus GN=Krt1 PE=1 SV=4"	66 kDa	0.13	41.277	44.724	38.606	32.837	51.658	41.8204	33.913	21.236	35.064	36.404	31.6543	52.995	41.137	48.739	33.557	44.107	33.456	33.982	44.959	37.4657		P04104															
MIME_MOUSE	Mimecan OS=Mus musculus GN=Ogn PE=2 SV=1	34 kDa	0.13	0.8782	0.8601	0.8978	0	2.1524	0.9577	0	0	2.4182	5.5158	1.9835	0	0	0	0	0	2.3897	2.9984	2.1409	2.5097		Q62000															
MYL6_MOUSE	Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 PE=1 SV=3	17 kDa	0.13	60.599	55.045	52.97	61.296	64.573	58.8966	42.099	62.46	43.528	27.579	43.9165	54.123	47.682	39.203	58.454	49.8655	46.997	62.966	66.368	58.777		Q60605															
RL11_MOUSE	60S ribosomal protein L11 OS=Mus musculus GN=Rpl11 PE=1 SV=4	20 kDa	0.13	0.8782	0	0	0	2.1524	0.6061	0	0	0	0	0	1.1276	1.8699	1.0595	1.0825	1.2849	2.3897	0.9995	0	1.1297		Q9CXW4															
SH3L1_MOUSE	SH3 domain-binding glutamic acid-rich-like protein OS=Mus musculus GN=Sh3bgrl PE=3 SV=1	13 kDa	0.13	2.6347	0	2.6934	1.0946	3.2286	1.9303	2.3388	2.4984	0	0	1.2093	0	0.9349	0	1.0825	0.5044	1.5931	2.9984	3.2114	2.601		Q9JJU8															
1433B_MOUSE	14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3	28 kDa	0.14	7.0259	6.0206	6.2846	6.5674	0	5.1797	0	0	0	0	0	7.8929	6.5446	0	0	3.6094	0	8.9951	7.4932	5.4961		Q9CQV8	Parkinson												Parkinson		
ENTP1_MOUSE	Ectonucleoside triphosphate diphosphohydrolase 1 OS=Mus musculus GN=Entpd1 PE=2 SV=1	57 kDa	0.14	1.7565	1.7202	0.8978	1.0946	2.1524	1.5243	1.1694	0	1.2091	3.3095	1.422	1.1276	0	0	0	0.2819	1.5931	1.9989	1.0705	1.5542		P55772															
FMOD_MOUSE	Fibromodulin OS=Mus musculus GN=Fmod PE=2 SV=1	43 kDa	0.14	0	0	0	0	0	0	0	0	9.6729	23.166	8.2097	0	0	0	0	0	0	0	0	0		P50608															
IF4A1_MOUSE	Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=1 SV=1	46 kDa	0.14	0	0.8601	0	1.0946	0	0.3909	0	0	0	0	0	1.1276	0	1.0595	1.0825	0.8174	2.3897	0	1.0705	1.1534		P60843															
MYH7_MOUSE	Myosin-7 OS=Mus musculus GN=Myh7 PE=1 SV=1	223 kDa	0.14	289.82	311.35	337.57	353.54	345.46	327.548	370.7	237.35	386.92	295.65	322.655	293.17	301.98	341.17	245.72	295.51	301.9	225.88	210.88	246.22		Q91Z83	"Chemokine_Cytokine_Signaling, Cytoskeleton"			Chemokine_Cytokine_Signaling	Cytoskeleton										
TGFI1_MOUSE	Transforming growth factor beta-1-induced transcript 1 protein OS=Mus musculus GN=Tgfb1i1 PE=1 SV=2	50 kDa	0.14	2.6347	0.8601	0	0	0	0.699	0	1.2492	0	0	0.3123	1.1276	0	1.0595	2.165	1.088	3.1863	0.9995	2.1409	2.1089		Q62219															
HSP7C_MOUSE	Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1	71 kDa	0.15	31.617	24.942	33.219	41.594	35.515	33.3774	38.59	36.227	36.273	39.714	37.701	39.465	33.658	36.025	31.392	35.135	27.88	32.982	28.902	29.9213		P63017	Parkinson												Parkinson		
NDUV2_MOUSE	"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Mus musculus GN=Ndufv2 PE=1 SV=2"	27 kDa	0.15	1.7565	1.7202	0.8978	1.0946	1.0762	1.3091	2.3388	2.4984	0	2.2063	1.7609	5.6378	1.8699	3.1786	2.165	3.2128	1.5931	1.9989	4.2818	2.6246		Q9D6J6	Parkinson												Parkinson		
NIPS2_MOUSE	Protein NipSnap homolog 2 OS=Mus musculus GN=Gbas PE=2 SV=1	33 kDa	0.15	1.7565	1.7202	0.8978	0	1.0762	1.0901	0	0	1.2091	0	0.3023	2.2551	2.8048	0	1.0825	1.5356	0.7966	0	0	0.2655		O55126															
CO6A2_MOUSE	Collagen alpha-2(VI) chain OS=Mus musculus GN=Col6a2 PE=2 SV=3	110 kDa	0.16	6.1477	5.1605	3.5912	4.3783	3.2286	4.5013	5.847	14.99	45.946	6.619	18.3505	7.8929	3.7398	4.2382	4.3299	5.0502	3.9828	4.9973	5.3523	4.7775		Q02788	"Chemokine_Cytokine_Signaling, Integrin"			Chemokine_Cytokine_Signaling							Integrin				
NID1_MOUSE	Nidogen-1 OS=Mus musculus GN=Nid1 PE=1 SV=2	137 kDa	0.16	2.6347	1.7202	3.5912	0	4.3049	2.4502	1.1694	2.4984	8.4638	3.3095	3.8603	7.8929	2.8048	3.1786	5.4124	4.8222	5.576	5.9968	7.4932	6.3553		P10493															
POSTN_MOUSE	Periostin OS=Mus musculus GN=Postn PE=1 SV=2	93 kDa	0.16	1.7565	0.8601	0	0	0	0.5233	0	6.246	41.11	140.1	46.864	1.1276	0	0	0	0.2819	0	1.9989	0	0.6663		Q62009															
COX5B_MOUSE	"Cytochrome c oxidase subunit 5B, mitochondrial OS=Mus musculus GN=Cox5b PE=1 SV=1"	14 kDa	0.17	1.7565	0.8601	0.8978	1.0946	3.2286	1.5675	4.6776	2.4984	1.2091	0	2.0963	0	0.9349	0	0	0.2337	0.7966	0	1.0705	0.6224		P19536															
HNRPD_MOUSE	Heterogeneous nuclear ribonucleoprotein D0 OS=Mus musculus GN=Hnrnpd PE=1 SV=2	38 kDa	0.17	0	0.8601	0	0	0	0.172	0	0	0	0	0	0	0	0	1.0825	0.2706	1.5931	0.9995	0	0.8642		Q60668															
PSA4_MOUSE	Proteasome subunit alpha type-4 OS=Mus musculus GN=Psma4 PE=1 SV=1	29 kDa	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0.9349	1.0595	0	0.4986	0.7966	0	0	0.2655		Q9R1P0	Parkinson												Parkinson		
CISD1_MOUSE	CDGSH iron-sulfur domain-containing protein 1 OS=Mus musculus GN=Cisd1 PE=1 SV=1	12 kDa	0.18	3.513	1.7202	1.7956	3.2837	2.1524	2.493	3.5082	3.7476	1.2091	0	2.1162	0	0.9349	1.0595	1.0825	0.7692	0.7966	1.9989	2.1409	1.6455		Q91WS0															
CRIP2_MOUSE	Cysteine-rich protein 2 OS=Mus musculus GN=Crip2 PE=1 SV=1	23 kDa	0.18	0.8782	0	0	0	0	0.1756	0	0	0	0	0	1.1276	0	0	0	0.2819	1.5931	0.9995	0	0.8642		Q9DCT8															
ENPL_MOUSE	Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2	92 kDa	0.18	3.513	3.4403	1.7956	3.2837	3.2286	3.0522	3.5082	1.2492	12.091	13.238	7.5216	5.6378	4.6747	5.2977	5.4124	5.2557	2.3897	3.9978	3.2114	3.1996		P08113															
